Timestamp,Tx,Ty,Tz,Rx,Ry,Rz
2022-02-15 03:20:19.382417,34,-267,0,-142,-17,0
2022-02-15 03:20:19.399358,52,-346,0,-192,-32,0
2022-02-15 03:20:19.416419,54,-350,0,-175,-28,0
2022-02-15 03:20:19.433422,54,-350,0,-169,-30,0
2022-02-15 03:20:19.450605,55,-350,0,-170,-30,0
2022-02-15 03:20:19.468435,56,-350,0,-175,-30,0
2022-02-15 03:20:19.486443,56,-350,0,-175,-29,0
2022-02-15 03:20:19.504424,56,-350,0,-181,-29,0
2022-02-15 03:20:19.522432,39,-346,0,-188,-27,0
2022-02-15 03:20:19.540427,11,-312,0,-177,-14,0
2022-02-15 03:20:19.558428,0,-118,0,-59,0,0
2022-02-15 03:20:19.576409,0,0,0,0,0,0
2022-02-15 03:20:19.593446,0,0,0,0,0,0
2022-02-15 03:20:19.611398,0,0,0,0,0,0
2022-02-15 03:20:19.628402,0,0,0,0,0,0
2022-02-15 03:20:19.645487,0,0,0,0,0,0
2022-02-15 03:20:19.715625,0,-82,0,0,0,0
2022-02-15 03:20:19.733431,27,-228,0,-56,-6,0
2022-02-15 03:20:19.751431,51,-350,0,-157,-33,0
2022-02-15 03:20:19.769439,53,-350,0,-173,-35,0
2022-02-15 03:20:19.787419,52,-350,0,-162,-32,0
2022-02-15 03:20:19.805479,49,-350,0,-150,-24,0
2022-02-15 03:20:19.823352,19,-350,0,-146,-5,0
2022-02-15 03:20:19.840343,0,-274,0,-95,0,0
2022-02-15 03:20:19.857336,0,-142,0,-56,0,0
2022-02-15 03:20:19.874330,0,-35,0,-5,0,0
2022-02-15 03:20:19.891329,0,0,0,0,0,0
2022-02-15 03:20:19.908448,0,0,0,0,0,0
2022-02-15 03:20:19.926405,0,0,0,0,0,0
2022-02-15 03:20:20.071455,0,0,8,-16,0,0
2022-02-15 03:20:20.089414,-10,0,3,-30,0,0
2022-02-15 03:20:20.106422,-6,0,23,-24,0,-1
2022-02-15 03:20:20.124469,0,26,49,-9,-7,0
2022-02-15 03:20:20.142360,0,91,77,0,-24,0
2022-02-15 03:20:20.159341,0,230,69,103,-52,60
2022-02-15 03:20:20.176328,1,239,41,174,-91,44
2022-02-15 03:20:20.193445,5,256,49,210,-84,20
2022-02-15 03:20:20.211433,8,265,61,231,-74,6
2022-02-15 03:20:20.229422,10,265,68,237,-68,2
2022-02-15 03:20:20.247420,12,267,72,243,-63,0
2022-02-15 03:20:20.265430,16,265,74,245,-63,0
2022-02-15 03:20:20.283414,16,256,52,248,-63,0
2022-02-15 03:20:20.301412,17,200,0,228,-50,47
2022-02-15 03:20:20.318428,0,138,0,165,-6,68
2022-02-15 03:20:20.336439,0,0,0,0,0,0
2022-02-15 03:20:20.354394,0,0,0,0,0,0
2022-02-15 03:20:20.371443,0,0,0,0,0,0
2022-02-15 03:20:20.421402,0,0,0,-2,0,0
2022-02-15 03:20:20.438462,-8,5,9,0,0,0
2022-02-15 03:20:20.456410,-14,54,18,2,0,0
2022-02-15 03:20:20.474404,-3,142,26,84,0,0
2022-02-15 03:20:20.491401,0,228,27,181,0,25
2022-02-15 03:20:20.508403,20,267,29,256,-22,0
2022-02-15 03:20:20.525416,30,261,59,304,-1,0
2022-02-15 03:20:20.543450,32,262,62,308,0,0
2022-02-15 03:20:20.561394,34,263,64,310,0,0
2022-02-15 03:20:20.578403,39,261,64,310,0,0
2022-02-15 03:20:20.595400,41,252,50,319,0,0
2022-02-15 03:20:20.612402,30,222,3,350,0,0
2022-02-15 03:20:20.629409,27,175,-2,350,0,9
2022-02-15 03:20:20.646487,0,154,-28,224,0,41
2022-02-15 03:20:20.664451,0,0,0,0,0,0
2022-02-15 03:20:20.682406,0,0,0,0,0,0
2022-02-15 03:20:20.701858,0,0,0,0,-3,0
2022-02-15 03:20:20.719589,0,0,0,0,0,0
2022-02-15 03:20:20.737556,0,0,0,0,0,0
2022-02-15 03:20:20.755584,0,0,0,0,-3,0
2022-02-15 03:20:20.773555,0,0,0,0,0,0
2022-02-15 03:20:20.791528,0,0,0,0,0,0
2022-02-15 03:20:20.809525,0,0,0,0,0,0
